doc_id,title,year,doi,source,keywords,cluster_id,tema_auto
ae6adea103cc,"Atmos. Chem. Phys., 19, 6497–6507, 2019https://doi.org/10.5194/acp-19-6497-2019© Author(s) 2019. This work is distributed underthe Creative Commons Attribution 4.0 License.",2019.0,10.5194/acp-19-6497-2019,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
dbd56c1e6c77,"Clim. Past, 3, 341–353, 2007www.clim-past.net/3/341/2007/© Author(s) 2007. This work is licensedunder a Creative Commons License.",2007.0,,rclone_drive,,2,"Tema 2: climate, change, land, water"
9ade575f3c63,"Atmos. Chem. Phys., 16, 1123–1138, 2016www.atmos-chem-phys.net/16/1123/2016/doi:10.5194/acp-16-1123-2016© Author(s) 2016. CC Attribution 3.0 License.",2016.0,10.5194/acp-16-1123-2016,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
d35274b9d6e4,EssayReview of Design of Collective Housing in the 21st Century,2021.0,10.3390/buildings11040157,rclone_drive,housing; diffuse design; built environment; uncertainty; scarcity; contingency; domestic,4,"Tema 4: aerosol, ocean, ozone, surface"
06c2a1560daf,ORIGINAL ARTICLEChanges in coral microbial communities in responseto a natural pH gradient,2012.0,10.1038/ismej.2012.19;,rclone_drive,holobiont; ocean acidification; bacteria; coral; microbial community,2,"Tema 2: climate, change, land, water"
3d63ae2abdb4,A Web of Science based bibliometric reconnaissance of the Himalaya-,1901.0,10.3126/jngs.v62i0.38690,rclone_drive,Bibliometrics; Himalaya; Tibet; Science mapping; Field sciences,0,"Tema 0: research, environmental, systems, change"
c7713c6023ae,"RESEARCH ARTICLEAnthropogenic contamination of tap water,beer, and sea salt",2018.0,10.1371/journal.pone.0194970,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
99fb3d25e54d,Vol.:(0123456789)1 3,2020.0,10.1007/s00382-019-04898-8,rclone_drive,Convection-Permitting Regional Climate Model; Heavy precipitating events; Added value; cnrm-arome,2,"Tema 2: climate, change, land, water"
db94a5ece2d7,Modeling Land Use and Land Cover Dynamic Using Geographic Information System and Markov-CA,2020.0,10.19184/geosi.v5i2.17596,rclone_drive,Built-up area; GIS; LULC; Markov-CA; Spatial modeling,2,"Tema 2: climate, change, land, water"
78c0c6a8746c,"Research status, developmenttrends, and the prospects ofcultivated land risk",2002.0,10.3389/fenvs.2023.1175239,rclone_drive,cultivated land risk; literature review; CiteSpace; planetary boundaries; cultivated land,2,"Tema 2: climate, change, land, water"
86208469bc67,ArticleTowards a Comprehensive Framework for ClimateChange Multi-Risk Assessment in theMining Industry,2019.0,10.3390/infrastructures4030038,rclone_drive,climate change; risk assessment; mining; adaptation; Bayesian networks,2,"Tema 2: climate, change, land, water"
483e4e376812,"Atmos. Chem. Phys., 11, 6623–6637, 2011www.atmos-chem-phys.net/11/6623/2011/doi:10.5194/acp-11-6623-2011© Author(s) 2011. CC Attribution 3.0 License.",2011.0,10.5194/acp-11-6623-2011,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
fdc02b70443d,WETLAND HYDROLOGY AND GEOMORPHOLOGY,2020.0,10.1007/s13157-021-01482-x,rclone_drive,Coastal plain . Río de la Plata estuary . Landscape units . Groundwater flow,2,"Tema 2: climate, change, land, water"
683105e30921,MIT Open Access Articles,2009.0,10.1257/aer.99.2.211,rclone_drive,,0,"Tema 0: research, environmental, systems, change"
ca9d85008c52,Predicting shifting sustainability tradeoffs in marine finfish aquaculture under climate 1,,,rclone_drive,aquaculture; mechanistic predictive models; trade-offs; regional climate,2,"Tema 2: climate, change, land, water"
41368d49a232,"Hydrol. Earth Syst. Sci., 15, 3511–3527, 2011www.hydrol-earth-syst-sci.net/15/3511/2011/doi:10.5194/hess-15-3511-2011© Author(s) 2011. CC Attribution 3.0 License.",2011.0,10.5194/hess-15-3511-2011,rclone_drive,,2,"Tema 2: climate, change, land, water"
a6110359b48d,"Atmos. Chem. Phys., 8, 6505–6525, 2008www.atmos-chem-phys.net/8/6505/2008/© Author(s) 2008. This work is distributed underthe Creative Commons Attribution 3.0 License.",2008.0,,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
544d9de1205f,Wang Feng (Orcid ID: 0000-0003-3595-515X) Gerlein-Safdi Cynthia (Orcid ID: 0000-0001-8160-6167),,10.1002/ldr.3314,rclone_drive,,0,"Tema 0: research, environmental, systems, change"
54a234d0f4b6,RESEARCH ARTICLESustainability management of short-livedfreshwater fish in human-altered ecosystemsshould focus on adult survival,2020.0,10.1371/journal.pone.0232872,rclone_drive,,1,"Tema 1: species, marine, different, ecosystem"
6e5ee01eeb35,K. F. WIERSUM / H.J.W. VAN ROERMUND ET AL.,1979.0,,rclone_drive,simulation; aphid; wheat; damage; yield reduction; production level,2,"Tema 2: climate, change, land, water"
ad0c4c2800af,"Atmos. Meas. Tech., 9, 1799–1816, 2016www.atmos-meas-tech.net/9/1799/2016/doi:10.5194/amt-9-1799-2016© Author(s) 2016. CC Attribution 3.0 License.",2016.0,10.5194/amt-9-1799-2016,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
ee0799730214,"Ultraviolet (UV) radiation from sunlight is a major skin-damaging agent and the exposure of mammalian cells to UVradiation results in DNA damage, such as the formation ofcyclobutane pyrimidine dimers. UV-induced DNA damageleads to growth arrest, cell death, and mutation and is alsothe principal causative factor for malignant transforma-tion.1,2) UV light is reported to affect skin by inducing im-muno-suppression, cancer, premature skin aging, inﬂamma-tion, and apoptosis.3) When an area of skin is exposed to UVlight, apoptosis can be induced in the region that suffers thegreatest exposure and cells surrounding this area would alsobe partially damaged. Apoptosis in the UV-exposed skin ismanifested in the form of sunburn cells.4) Activation of cas-pase-3 was shown to induce apoptosis in UV-exposed ker-atinocytes5) and caspase-8 and caspase-9 are also known tobe activated following induction of Fas receptors on themembrane upon UV exposure.6)",2006.0,,rclone_drive,eriodictyol; human epidermal keratinocyte; apoptosis; ﬂavonoid; structure–activity relationship,1,"Tema 1: species, marine, different, ecosystem"
db7e1177f63f,University of Nebraska - Lincoln University of Nebraska - Lincoln DigitalCommons@University of Nebraska - Lincoln DigitalCommons@University of Nebraska - Lincoln,2011.0,,rclone_drive,,2,"Tema 2: climate, change, land, water"
1c4ac65ff52d,Understanding and responding to danger from climatechange: the role of key risks in the IPCC AR5,2015.0,10.1007/s10584-016-1645-x,rclone_drive,,0,"Tema 0: research, environmental, systems, change"
d735fa453137,HAL Id: hal-01251430,2018.0,10.1016/j.marpolbul.2016.01.006,rclone_drive,Microplastics; Urban environment; Atmospheric fallout; Microplastic sources; Synthetic fibers,2,"Tema 2: climate, change, land, water"
8e594daf431f,Open Research Online,2010.0,10.1002/qj.677,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
785cfe531809,"PROBLEMSOF EDUCATIONIN THE 21st CENTURYVol. 77, No. 1, 2019",2019.0,10.33225/pec/19.77.39,rclone_drive,environmental education; environmental knowledge; field-based research; major personality,0,"Tema 0: research, environmental, systems, change"
768831e41673,"Atmos. Meas. Tech., 14, 6483–6507, 2021https://doi.org/10.5194/amt-14-6483-2021© Author(s) 2021. This work is distributed underthe Creative Commons Attribution 4.0 License.",2021.0,10.5194/amt-14-6483-2021,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
0c73dac436b8,"ETHICS IN SCIENCE AND ENVIRONMENTAL POLITICSEthics Sci Environ PolitVol. 18: 61–74, 2018https://doi.org/10.3354/esep00185Published September 18",2018.0,10.3354/esep00185,rclone_drive,GMOs; Anti-capitalism; Environmentalism; Machiavelli; Lenin,1,"Tema 1: species, marine, different, ecosystem"
617763d2dc90,"Citation: Smol, M.; Marcinek, P.;",2023.0,10.3390/resources12010002,rclone_drive,phosphorus; resources; critical raw materials; Visegrad Group; sustainable management,0,"Tema 0: research, environmental, systems, change"
7564347eecd1,"Weather Clim. Dynam., 1, 459–479, 2020https://doi.org/10.5194/wcd-1-459-2020© Author(s) 2020. This work is distributed underthe Creative Commons Attribution 4.0 License.",2020.0,10.5194/wcd-1-459-2020,rclone_drive,,2,"Tema 2: climate, change, land, water"
fdd8835bcd27,"Atmos. Chem. Phys., 14, 4263–4278, 2014www.atmos-chem-phys.net/14/4263/2014/doi:10.5194/acp-14-4263-2014© Author(s) 2014. CC Attribution 3.0 License.",2014.0,10.5194/acp-14-4263-2014,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
382511361344,"Atmos. Chem. Phys., 13, 693–715, 2013www.atmos-chem-phys.net/13/693/2013/doi:10.5194/acp-13-693-2013© Author(s) 2013. CC Attribution 3.0 License.",2013.0,10.5194/acp-13-693-2013,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
609b963562f6,Vol.:(0123456789)1 3,2018.0,10.1007/s11625-018-0574-1,rclone_drive,Planetary boundaries; Sustainable business; Life cycle analysis; Investment; Corporate responsibility,0,"Tema 0: research, environmental, systems, change"
af540caf77a3,I. TAKAYABU and K. HIBINOJanuary 2016191,2016.0,10.2151/jmsj.2015-038,rclone_drive,skillful timescale; precipitation; power spectrum; probability distribution function,2,"Tema 2: climate, change, land, water"
9818e979ed29,"Journal of Sustainable Development; Vol. 5, No. 9; 2012 ISSN 1913-9063 E-ISSN 1913-9071 Published by Canadian Center of Science and Education",2012.0,10.5539/jsd.v5n9p42,rclone_drive,Sub-Saharan Africa; biodiversity conservation; planning methodologies; development; epistemology,1,"Tema 1: species, marine, different, ecosystem"
d1835685e1f5,PERSPECTIVEpublished: 04 January 2018doi: 10.3389/fmicb.2017.02438,2018.0,10.3389/fmicb.2017.02438,rclone_drive,marine biogeochemical cycling; carbon cycle; organic matter hydrolysis; extracellular enzymatic,1,"Tema 1: species, marine, different, ecosystem"
5b14aa7f5011,"Theranostics 2012, 2(9)",2012.0,10.7150/thno.4571,rclone_drive,tetrapyrrolic photosensitisers; phototherapy; imaging; nanoagents; theranostics,1,"Tema 1: species, marine, different, ecosystem"
d7d00c390ca2,On the response of Himalayan glaciers to climate change,2009.0,10.3189/2013JoG12J130,rclone_drive,,2,"Tema 2: climate, change, land, water"
64429d88040a,"ReviewClimate Change, Agriculture and Migration:A Survey",2018.0,10.3390/su10051405,rclone_drive,climate change; agriculture; migration; adaptation; selective review,2,"Tema 2: climate, change, land, water"
3b8ca1f80fbc,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65,2009.0,,rclone_drive,,3,"Tema 3: flow, vegetation, density, seagrass"
0f30f1739d8e,ORIGINAL RESEARCHpublished: 19 August 2020doi: 10.3389/fmicb.2020.02010,2020.0,10.3389/fmicb.2020.02010,rclone_drive,15N; Aphanizomenon ﬂos-aquae; Baltic Sea; diazotrophy; nitrogen ﬁxation; nanoSIMS; vB_AphaS,0,"Tema 0: research, environmental, systems, change"
de4d569d68c5,"Earth Syst. Sci. Data, 14, 683–707, 2022https://doi.org/10.5194/essd-14-683-2022© Author(s) 2022. This work is distributed underthe Creative Commons Attribution 4.0 License.",2022.0,10.5194/essd-14-683-2022,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
52ac4d992192,Creating positive friction in the Anthropo(s)cenes,2002.0,,rclone_drive,Anthropocene; ontological politics; multiple; resilience; natural climate,0,"Tema 0: research, environmental, systems, change"
38703db4ca4d,Data Privacy Based on IoT Device Behavior Control UsingBlockchain,2020.0,,rclone_drive,and Phrases: Behavior Control; Blockchain; Smart Contract; Internet of Things; ACM Reference Format; Faiza Loukil; Chirine Ghedira-Guegan; Khouloud Boukadi; Aïcha-Nabila Benharkat; and Elhadj Benkhelifa; 2020. Data Privacy Based on IoT Device Behavior Control Using Blockchain. J. ACM; (November 2020); 20 pages; Authors’ addresses: Faiza Loukil; University of Lyon,0,"Tema 0: research, environmental, systems, change"
381dd84ec5df,Political Geography 98 (2022) 102672,2022.0,10.1016/j.polgeo.2022.102672,rclone_drive,,0,"Tema 0: research, environmental, systems, change"
0aab0bd319c1,"RBLA, Belo Horizonte, v. 16, n. 3, p. 493-519, 2016493",2016.0,10.1590/1984-6398201610240,rclone_drive,ICTs; applied ethics; applied linguistics; post-humanism; meaning-making,0,"Tema 0: research, environmental, systems, change"
121ee3781b1a,ORIGINAL RESEARCHpublished: 18 November 2019doi: 10.3389/fmars.2019.00667,2019.0,10.3389/fmars.2019.00667,rclone_drive,carbonate factories; polar environments; nutrient regime; aqueous carbonate system; stable isotopes,0,"Tema 0: research, environmental, systems, change"
35bea053168d,"Findings of the Association for Computational Linguistics: ACL-IJCNLP 2021, pages 3547–3561August 1–6, 2021. ©2021 Association for Computational Linguistics",2021.0,,rclone_drive,,0,"Tema 0: research, environmental, systems, change"
16446307fe6e,Vol.:(0123456789),2024.0,10.1007/s11191-023-00432-9,rclone_drive,,0,"Tema 0: research, environmental, systems, change"
dd111b899401,"Clim. Past, 11, 979–989, 2015www.clim-past.net/11/979/2015/doi:10.5194/cp-11-979-2015© Author(s) 2015. CC Attribution 3.0 License.",2015.0,10.5194/cp-11-979-2015,rclone_drive,,2,"Tema 2: climate, change, land, water"
2c546779507e,"LANDSCAPE ECOLOGY OF AQUATIC SYSTEMS (K HOVEL, SECTION EDITOR)",2019.0,10.1007/s40823-019-00044-6,rclone_drive,Riverscapes,2,"Tema 2: climate, change, land, water"
85479a17edb6,"Hungarian Journal of Legal Studies 60, No 2, pp. 185–208 (2019)DOI: 10.1556/2052.2019.000122498-5473 / USD 20.00© 2019 Akadémiai Kiadó, Budapest",2019.0,10.1556/2052.2019.00012,rclone_drive,Chernobyl accident; international law; nuclear energy; environmental law; Chernobyl Radiation and,0,"Tema 0: research, environmental, systems, change"
cdd90e594f1a,Introduction: Α Perspective from the Humanities—Science Boundary,1994.0,,rclone_drive,climate change; episodes; radiation balance; global change; historical ecology,2,"Tema 2: climate, change, land, water"
2b92f473f86e,O R I G I N A L R E S E A R C HResveratrol Pretreatment Inhibits Myocardial Apoptosis in Rats Following Coronary Microembolization via Inducing the PI3K/Akt/ GSK-3β Signaling Cascade,2021.0,10.2147/DDDT.S323555,rclone_drive,resveratrol,0,"Tema 0: research, environmental, systems, change"
0e54edcd6699,EditorialSocietal Relations to Nature in Times ofCrisis—Social Ecology’s Contributions toInterdisciplinary Sustainability Studies,2017.0,10.3390/su9071042,rclone_drive,social ecology; societal relations to nature; colonization; metabolism; regulation,0,"Tema 0: research, environmental, systems, change"
25322cc917bd,"Biogeosciences, 4, 323–329, 2007www.biogeosciences.net/4/323/2007/© Author(s) 2007. This work is licensedunder a Creative Commons License.",2007.0,,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
c45760022744,ORIGINAL ARTICLEAdaptation of an abundant Roseobacter RCAorganism to pelagic systems revealed by genomicand transcriptomic analyses,2015.0,10.1038/ismej.2014.134;,rclone_drive,,1,"Tema 1: species, marine, different, ecosystem"
7d738b4379ce,An empirical relationship between PM2.5 and aerosol opticaldepth in Delhi Metropolitan,2007.0,10.1016/j.atmosenv.2007.01.046.,rclone_drive,PM2.5; Aerosol optical depth (AOD); Air pollution; Remote sensing,4,"Tema 4: aerosol, ocean, ozone, surface"
f4e6c79685ec,DOI 10.1007/s00382-015-2664-4Clim Dyn (2016) 46:1599–1625,2016.0,10.1007/s00382-015-2664-4,rclone_drive,COSMO-CLM; Regional climate model,2,"Tema 2: climate, change, land, water"
df6784beca19,"MARINE ECOLOGY PROGRESS SERIESMar Ecol Prog SerVol. 268: 81–92, 2004Published March 9",2004.0,,rclone_drive,Flow-establishment zone; Habitat structure; Hydrodynamics; Seagrass,3,"Tema 3: flow, vegetation, density, seagrass"
3dbc9ef5722a,"Adv. Geosci., 8, 69–78, 2006www.adv-geosci.net/8/69/2006/© Author(s) 2006. This work is licensedunder a Creative Commons License.",2006.0,,rclone_drive,,0,"Tema 0: research, environmental, systems, change"
c39efbc97a21,Characterizing atmosphericaerosols using polarimetry andshadow hiding,2021.0,10.3389/frsen.2023.1321621,rclone_drive,atmosphere; observations; polarization; aerosols; microphysics; agglomerated debris,0,"Tema 0: research, environmental, systems, change"
54916f45c2af,"ACTA MARISIENSIS, SERIA OECONOMICA",2021.0,10.2478/amso-2021-0008,rclone_drive,sustainability; Brundtland Report; UN Agenda 21; Sustainable Development Goals,0,"Tema 0: research, environmental, systems, change"
ae3b08769716,ORIGINAL ARTICLE,2008.0,10.1007/s11027-008-9155-4,rclone_drive,Adaptation . Burkina Faso . Climate change . Forest ecosystems,2,"Tema 2: climate, change, land, water"
9b8aca36d182,© 2004 the Owner Societies (Royal Society of Chemistry) https://pubs.rsc.org/en/content/articlelanding/2004/cp/b311150d/unauth,2004.0,,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
5c8813417a53,"Atmos. Chem. Phys., 20, 7103–7123, 2020https://doi.org/10.5194/acp-20-7103-2020© Author(s) 2020. This work is distributed underthe Creative Commons Attribution 4.0 License.",2020.0,10.5194/acp-20-7103-2020,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
fac8df2ff2d3,"AQUATIC MICROBIAL ECOLOGYAquat Microb EcolVol. 31: 279–305, 2003Published April 3",2003.0,,rclone_drive,Dissolved organic nitrogen; Phytoplankton; Bacteria; N nutrition; N cycling,1,"Tema 1: species, marine, different, ecosystem"
11cd0c35a1d4,Variability of precipitation in Poland under climate change,2018.0,10.1007/s00704-018-2408-6,rclone_drive,,2,"Tema 2: climate, change, land, water"
14322db329b7,Assessing recent environmental sustainability in the,2005.0,,rclone_drive,Reserve; zoning; land use-land cover transition; forest fire; Spain,2,"Tema 2: climate, change, land, water"
805e0c4f4306,REVIEWOpen Access,1983.0,10.1186/s40645-020-00374-8,rclone_drive,Geomagnetic field; Earth’s core; Deep mantle; Long-term evolution,2,"Tema 2: climate, change, land, water"
0d952b3abd2c,"T ellus (2002), 54B, 143–162Copyright © Blackwell Munksgaard, 2002Printed in UK. All rights reservedTELLUSISSN 0280–6509",2002.0,,rclone_drive,,2,"Tema 2: climate, change, land, water"
5ee350424009,"Hydrol. Earth Syst. Sci., 18, 4065–4076, 2014www.hydrol-earth-syst-sci.net/18/4065/2014/doi:10.5194/hess-18-4065-2014© Author(s) 2014. CC Attribution 3.0 License.",2014.0,10.5194/hess-18-4065-2014,rclone_drive,,2,"Tema 2: climate, change, land, water"
0f28a2e5e435,"La comprensione dei cambiamenti indotti dall’uo­mo alle foreste tropicali è fondamentale per com­prendere il cambiamento climatico globale e la con­servazione della natura. In questo senso, le foreste tropicali stanno subendo a opera dell’uomo profon­de modificazioni che possono pregiudicare il loro ruolo nel ciclo del carbonio, dell’energia (IPCC 2002) e nel campo della biodiversità. Infatti, l’aumento del­la popolazione dei Paesi tropicali (Anonymous 2004) ha determinato la rimozione di circa la metà della co­pertura potenziale della foresta tropicale e la sua conversione ad altri usi del suolo. I tassi di deforesta­zione massimi sono stati raggiunti negli anni ’80 e ’90 del secolo scorso e negli ultimi anni si è assistito ad un certo rallentamento. Per esempio, in Asia il picco di deforestazione è stato raggiunto negli anni ’90 con un tasso annuale di 2.6 · 106 ha anno-1 (Han­sen & DeFries 2004), mentre nella foresta amazzonica il tasso di deforestazione è quasi raddoppiato tra il 2001 ed il 2003 raggiungendo i 2.4 · 106 ha anno-1",2002.0,,rclone_drive,Climate change; Tropical forest; Land use change; Deforestation; Carbon,2,"Tema 2: climate, change, land, water"
af0395a7ebc8,"Vol. 27: 215-225, 1996 DISEASES OF AQUATIC ORGANISMS Dis Aquat Org Published December 12",1996.0,,rclone_drive,,1,"Tema 1: species, marine, different, ecosystem"
9fbe931d8036,HAL Id: hal-01893882,2021.0,10.4319/lo.2000.45.2.0309,rclone_drive,,2,"Tema 2: climate, change, land, water"
a6143733829f,Advances in Catalytic Oxidation ofVolatile Organic Compounds overPd-Supported Catalysts: RecentTrends and Challenges,2006.0,10.3389/fmats.2020.595667,rclone_drive,catalytic oxidation; Pd-supported catalysts; volatile organic compounds; deactivation mechanism,4,"Tema 4: aerosol, ocean, ozone, surface"
ac8e8fd40821,App. Envi. Res. 44(1) (2022): 1-9,2022.0,10.35762/AER.2021.44.1.1,rclone_drive,Lifetime cancer risk; Annual effective dose; Accra Plains; Disposal facility,0,"Tema 0: research, environmental, systems, change"
cf183ed4af39,Annales Geophysicae (2003) 21: 2175–2183 c⃝European Geosciences Union 2003,2003.0,,rclone_drive,Atmospheric composition and structure (middle,4,"Tema 4: aerosol, ocean, ozone, surface"
1fe08ec90325,"Geosci. Model Dev., 13, 3203–3220, 2020https://doi.org/10.5194/gmd-13-3203-2020© Author(s) 2020. This work is distributed underthe Creative Commons Attribution 4.0 License.",2020.0,10.5194/gmd-13-3203-2020,rclone_drive,,2,"Tema 2: climate, change, land, water"
19addc295fdc,"Journal of the Meteorological Society of Japan, Vol. 85B, pp. 55--75, 200755",2007.0,,rclone_drive,,2,"Tema 2: climate, change, land, water"
6c3e3c62d605,"Geosci. Model Dev., 9, 4049–4070, 2016www.geosci-model-dev.net/9/4049/2016/doi:10.5194/gmd-9-4049-2016© Author(s) 2016. CC Attribution 3.0 License.",2016.0,10.5194/gmd-9-4049-2016,rclone_drive,,4,"Tema 4: aerosol, ocean, ozone, surface"
521a71f10a2d,Transcriptomics Reveal Several Gene Expression Patternsin the Piezophile Desulfovibrio hydrothermalis inResponse to Hydrostatic Pressure,2014.0,10.1371/journal.pone.0106831,rclone_drive,,1,"Tema 1: species, marine, different, ecosystem"
e94609167ccc,Vol.:(0123456789)1 3,2019.0,10.1007/s10924-019-01525-9,rclone_drive,Biobased plastic; Polylactic acid (PLA); Lactic acid; Life cycle assessment (LCA); Luminy,0,"Tema 0: research, environmental, systems, change"
86bfe43efe3a,ORIGINAL RESEARCHpublished: 25 January 2018doi: 10.3389/fmicb.2018.00007,2018.0,10.3389/fmicb.2018.00007,rclone_drive,seagrass; ammonia-oxidizing archaea and bacteria; ammonia monooxygenase subunit A (amoA),0,"Tema 0: research, environmental, systems, change"
f119ec41dd26,Duke Law Journal,2013.0,,rclone_drive,,0,"Tema 0: research, environmental, systems, change"
